name,mega_stone_for,fling_bp,description
Greninjite,,80,"If held by a Greninja, this item allows it to Mega Evolve in battle."
Gyaradosite,,80,"If held by a Gyarados, this item allows it to Mega Evolve in battle."
Hawluchanite,,80,"If held by a Hawlucha, this item allows it to Mega Evolve in battle."
Heracronite,,80,"If held by a Heracross, this item allows it to Mega Evolve in battle."
Houndoominite,,80,"If held by a Houndoom, this item allows it to Mega Evolve in battle."
Kangaskhanite,,80,"If held by a Kangaskhan, this item allows it to Mega Evolve in battle."
Lopunnite,,80,"If held by a Lopunny, this item allows it to Mega Evolve in battle."
Lucarionite,,80,"If held by a Lucario, this item allows it to Mega Evolve into Mega Lucario in battle."
Malamarite,,80,"If held by a Malamar, this item allows it to Mega Evolve in battle."
Manectite,,80,"If held by a Manectric, this item allows it to Mega Evolve in battle."
Mawilite,,80,"If held by a Mawile, this item allows it to Mega Evolve in battle."
Medichamite,,80,"If held by a Medicham, this item allows it to Mega Evolve in battle."
Meganiumite,,80,"If held by a Meganium, this item allows it to Mega Evolve in battle."
Meowsticite,,80,"If held by a Meowstic, this item allows it to Mega Evolve in battle."
Metagrossite,,80,"If held by a Metagross, this item allows it to Mega Evolve in battle."
Pidgeotite,,80,"If held by a Pidgeot, this item allows it to Mega Evolve in battle."
Pinsirite,,80,"If held by a Pinsir, this item allows it to Mega Evolve in battle."
Pyroarite,,80,"If held by a Pyroar, this item allows it to Mega Evolve in battle."
Raichunite X,,80,"If held by a Raichu, this item allows it to Mega Evolve into Mega Raichu X in battle."
Raichunite Y,,80,"If held by a Raichu, this item allows it to Mega Evolve into Mega Raichu Y in battle."
Sablenite,,80,"If held by a Sableye, this item allows it to Mega Evolve in battle."
Sceptilite,,80,"If held by a Sceptile, this item allows it to Mega Evolve in battle."
Scizorite,,80,"If held by a Scizor, this item allows it to Mega Evolve in battle."
Scolipite,,80,"If held by a Scolipede, this item allows it to Mega Evolve in battle."
Scovillainite,,80,"If held by a Scovillain, this item allows it to Mega Evolve in battle."
Scraftinite,,80,"If held by a Scrafty, this item allows it to Mega Evolve in battle."
Sharpedonite,,80,"If held by a Sharpedo, this item allows it to Mega Evolve in battle."
Skarmorite,,80,"If held by a Skarmory, this item allows it to Mega Evolve in battle."
Slowbronite,,80,"If held by a Slowbro (not Galarian Slowbro), this item allows it to Mega Evolve."
Spell Tag,,30,Holder's Ghost-type attacks have 1.2x power.
Staraptite,,80,"If held by a Staraptor, this item allows it to Mega Evolve in battle."
Starminite,,80,"If held by a Starmie, this item allows it to Mega Evolve in battle."
Steelixite,,80,"If held by a Steelix, this item allows it to Mega Evolve in battle."
Swampertite,,80,"If held by a Swampert, this item allows it to Mega Evolve in battle."
Tyranitarite,,80,"If held by a Tyranitar, this item allows it to Mega Evolve in battle."
Venusaurite,,80,"If held by a Venusaur, this item allows it to Mega Evolve in battle."
Victreebelite,,80,"If held by a Victreebel, this item allows it to Mega Evolve in battle."
White Herb,,10,Restores all lowered stat stages to 0 when one is less than 0. Single use.
Aspear Berry,,10,Holder is cured if it is frozen. Single use.
Babiri Berry,,10,Halves damage taken from a supereffective Steel-type attack. Single use.
Big Root,,10,Holder gains 1.3x HP from draining/Aqua Ring/Ingrain/Leech Seed/Strength Sap.
Black Belt,,30,Holder's Fighting-type attacks have 1.2x power.
Black Glasses,,30,Holder's Dark-type attacks have 1.2x power.
Bright Powder,,10,The accuracy of attacks against the holder is 0.9x.
Charcoal,,30,Holder's Fire-type attacks have 1.2x power.
Charti Berry,,10,Halves damage taken from a supereffective Rock-type attack. Single use.
Cheri Berry,,10,Holder cures itself if it is paralyzed. Single use.
Chesto Berry,,10,Holder wakes up if it is asleep. Single use.
Chilan Berry,,10,Halves damage taken from a Normal-type attack. Single use.
Choice Scarf,,10,"Holder's Speed is 1.5x, but it can only select the first move it executes."
Chople Berry,,10,Halves damage taken from a supereffective Fighting-type attack. Single use.
Coba Berry,,10,Halves damage taken from a supereffective Flying-type attack. Single use.
Colbur Berry,,10,Halves damage taken from a supereffective Dark-type attack. Single use.
Damp Rock,,60,Holder's use of Rain Dance lasts 8 turns instead of 5.
Dragon Fang,,70,Holder's Dragon-type attacks have 1.2x power.
Expert Belt,,10,Holder's attacks that are super effective against the target do 1.2x damage.
Fairy Feather,,10,Holder's Fairy-type attacks have 1.2x power.
Focus Band,,10,Holder has a 10% chance to survive an attack that would KO it with 1 HP.
Focus Sash,,10,"If holder's HP is full, will survive an attack that would KO it with 1 HP. Single use."
Haban Berry,,10,Halves damage taken from a supereffective Dragon-type attack. Single use.
Hard Stone,,100,Holder's Rock-type attacks have 1.2x power.
Heat Rock,,60,Holder's use of Sunny Day lasts 8 turns instead of 5.
Icy Rock,,40,Holder's use of Snowscape lasts 8 turns instead of 5.
Iron Ball,,130,"Holder is grounded, Speed halved. If Flying type, takes neutral Ground damage."
Kasib Berry,,10,Halves damage taken from a supereffective Ghost-type attack. Single use.
Kebia Berry,,10,Halves damage taken from a supereffective Poison-type attack. Single use.
King's Rock,,30,Holder's attacks without a chance to flinch gain a 10% chance to flinch.
Leftovers,,10,"At the end of every turn, holder restores 1/16 of its max HP."
Leppa Berry,,10,Restores 10 PP to the first of the holder's moves to reach 0 PP. Single use.
Life Orb,,30,"Holder's attacks do 1.3x damage, and it loses 1/10 its max HP after the attack."
Light Ball,,30,"If held by a Pikachu, its Attack and Sp. Atk are doubled."
Light Clay,,30,"Holder's use of Aurora Veil, Light Screen, or Reflect lasts 8 turns instead of 5."
Lum Berry,,10,Holder cures itself if it has a non-volatile status or is confused. Single use.
Magnet,,30,Holder's Electric-type attacks have 1.2x power.
Mental Herb,,10,"Cures holder of Attract, Disable, Encore, Heal Block, Taunt, Torment. Single use."
Metal Coat,,30,Holder's Steel-type attacks have 1.2x power.
Metronome,,30,Damage of moves used on consecutive turns is increased. Max 2x after 5 turns.
Miracle Seed,,30,Holder's Grass-type attacks have 1.2x power.
Muscle Band,,10,Holder's physical attacks have 1.1x power.
Mystic Water,,30,Holder's Water-type attacks have 1.2x power.
Never-Melt Ice,,30,Holder's Ice-type attacks have 1.2x power.
Occa Berry,,10,Halves damage taken from a supereffective Fire-type attack. Single use.
Oran Berry,,10,Restores 10 HP when at 1/2 max HP or less. Single use.
Passho Berry,,10,Halves damage taken from a supereffective Water-type attack. Single use.
Payapa Berry,,10,Halves damage taken from a supereffective Psychic-type attack. Single use.
Pecha Berry,,10,Holder is cured if it is poisoned. Single use.
Persim Berry,,10,Holder is cured if it is confused. Single use.
Poison Barb,,70,Holder's Poison-type attacks have 1.2x power.
Quick Claw,,80,"Each turn, holder has a 20% chance to move first in its priority bracket."
Rawst Berry,,10,Holder is cured if it is burned. Single use.
Rindo Berry,,10,Halves damage taken from a supereffective Grass-type attack. Single use.
Roseli Berry,,10,Halves damage taken from a supereffective Fairy-type attack. Single use.
Scope Lens,,30,Holder's critical hit ratio is raised by 1 stage.
Sharp Beak,,50,Holder's Flying-type attacks have 1.2x power.
Shed Shell,,10,Holder cannot be prevented from choosing to switch out by any effect.
Shell Bell,,30,"After an attack, holder gains 1/8 of the damage in HP dealt to other Pokemon."
Shuca Berry,,10,Halves damage taken from a supereffective Ground-type attack. Single use.
Silk Scarf,,10,Holder's Normal-type attacks have 1.2x power.
Silver Powder,,10,Holder's Bug-type attacks have 1.2x power.
Sitrus Berry,,10,Restores 1/4 max HP when at 1/2 max HP or less. Single use.
Smooth Rock,,10,Holder's use of Sandstorm lasts 8 turns instead of 5.
Soft Sand,,10,Holder's Ground-type attacks have 1.2x power.
Tanga Berry,,10,Halves damage taken from a supereffective Bug-type attack. Single use.
Twisted Spoon,,30,Holder's Psychic-type attacks have 1.2x power.
Wacan Berry,,10,Halves damage taken from a supereffective Electric-type attack. Single use.
Wide Lens,,10,The accuracy of attacks by the holder is 1.1x.
Wise Glasses,,10,Holder's special attacks have 1.1x power.
Yache Berry,,10,Halves damage taken from a supereffective Ice-type attack. Single use.
Zoom Lens,,10,The accuracy of attacks by the holder is 1.2x if it moves after its target.
